bigamous|adj|ယင္းအျပစ္ရွိေသာ။||
bight|n|အတြင္းဟိုက္ကမ္း႐ိုးေကြ႔။||
bigot|n|တစ္ယူသန္။||
bigoted|adj|တစ္ယူသန္။||
bigotry|n|တစ္ယူသန္သေဘာထား။ တစ္ယူသန္ အမူအက်င့္။||
bigwig|n|အေရးပါသူ။ အေကာင္။||
bijou|n|ရတနာ။||
bijou|adj|ေသးငယ္၍ သားနားေသာ (အေဆာက္အအံု)။||
bike|n|စက္ဘီး။ (ေမာ္ေတာ္) ဆိုင္ကယ္။||
bike|v|စက္ဘီး၊ (ေမာ္ေတာ္)ဆိုင္ကယ္စီးသည္။||
biker|n|ဆိုင္ကယ္စီးသူလူရြယ္။ (မ်ားေသာအားျဖင့္) ေမာ္ေတာ္ဆိုင္ကယ္သရဲအုပ္စုဝင္။||
bikini|n|ရင္စည္းစႏွင့္ ေရကူးေဘာင္းဘီပါ အမ်ဳိးသမီး ေရကူးဝတ္စံု။ ဘီကီနီ။||
bilabial|n|ႏႈတ္ခမ္းဗ်ည္း။||
bilateral|adj|ႏွစ္ဦးႏွစ္ဖက္ပါဝင္ေသာ။||
bilberry|n|ဥေရာပေျမာက္ပိုင္း ေတာင္ကုန္းမ်ားတြင္ ေပါက္ေသာ ခ်ဳံပုတ္တစ္မ်ဳိး။ ယင္းအပင္၏ စားေကာင္းေသာ အျပာရင့္ေရာင္ သီးလံုးငယ္။||
bile|n|သည္းေျခရည္။ အမ်က္ေဒါသ။||
bilge|n|သေဘၤာဝမ္းတြင္ အျပားဆံုးအပိုင္း (အတြင္းေရာ အျပင္ပါ)။ ယင္း၌စုေနသည့္ေရဆိုး။ အသံုးမက်ေသာ စကား၊ အၾကံဉာဏ္။ ေပါက္ကရ။||
bilingual|adj|ဘာသာစကား ႏွစ္မ်ဳိး တတ္ေသာ။ ဘာသာစကားႏွစ္မ်ဳိး ေျပာေသာ။ ႏွစ္ဘာသာ။||
bilious|adj|ကိုယ္လက္ မအီမသာျဖစ္ေသာ၊ ျဖစ္ေစေသာ။ ကြၽဲၿမီးတိုေသာ။||
biliousness|n|(အေရာင္) စိမ္းေရႊေရႊ။||
bill|n|က်သင့္ေငြေတာင္းခံလႊာ။ သတိေပး ေၾကာ္ျငာစာ။ ပိုစတာ။ ေဖ်ာ္ေျဖတင္ဆက္မည့္ အစီအစဥ္။ လႊတ္ေတာ္သို႔ တင္သြင္းသည့္) ဥပေဒမူၾကမ္း။ ေငြစကၠဴ။||
bill|v|က်သင့္ေငြေတာင္းခံသည္။  သတ္မွတ္ေၾကညာသည္။||
bill of exchange|n|ေဖာ္ျပသည့္ေန႔ရက္၌ ေဖာ္ျပပါ ပုဂၢဳိလ္အား ေငြထုတ္ေပးရန္ အမိန္႔စာလႊာ။||
bill of fare|n|(စားေသာက္ဆိုင္တြင္ ရႏိုင္ေသာ) ဟင္းအမည္စာရင္း။||
bill of  lading|n|သေဘၤာပါကုန္အေသးစိတ္စာရင္း။||
bill of rights|n|ႏိုင္ငံသားတို႔၏ အေျခခံရပိုင္ခြင့္မ်ား ေဖာ္ျပ ခ်က္။||
bill of sale|n|ပုဂၢလိကပိုင္ပစၥည္း ေရာင္းခ်မႈဆိုင္ရာ တရားဝင္ စာရြက္စာတမ္း။||
bill|n|ငွက္ႏႈတ္သီး။ ပင္လယ္ထဲသို႔ ထိုးထြက္ေနသည့္ ကုန္းစြယ္ေျမာင္။ (အမည္မ်ား၌ေတြ႔ရသည္။)||
bill and coo|idm|ခ်စ္သူခ်င္း ယုယနမ္း႐ႈပ္ ခ်စ္တင္းဆိုသည္။ လည္ခ်င္းယွက္သည္။||
Billboard|n|လမ္းေဘးေၾကာ္ျငာ ဆိုင္းဘုတ္ႀကီး။||
billet|n|(စစ္အတြင္း) စစ္သားမ်ား ယာယီစတည္းခ်ေနရာ လူေနအိမ္။||
billet|v|(အိမ္ရွင္မ်ားအား အမိန္႔ ထုတ္ဆင့္၍) အရပ္သားေနအိမ္မ်ားတြင္ စစ္သားမ်ားကို ေခတၱ စတည္းခ်ထားေပးသည္။||
billet-doux|n|ခ်စ္သဝဏ္လႊာ။||
billhook|n|(လက္ကိုင္ရွည္ပါ) ကိုင္းညႇပ္ ကတ္ေၾကး။||
billiards|n|ဘိလိယက္ ကစားနည္း။||
billion|n|(ျဗိတိန္နိုင္တြင္)သန္းေပါင္းတစ္သန္း။(အေမရိကန္ျပည္ေထာင္စုတြင္)သန္းေပါင္းတစ္ေထာင္။||
billionth|n|သန္းေပါင္းတစ္ေထာင္ပံုတစ္ပံု(သို ့)သန္းေပါင္းတစ္သန္းပံုတစ္ပံု။||
billow|n|ၾကီးမားေသာလွိဳင္းလံုး။||
billow out|phrv|လွိဳင္းလံုး လွိဳင္းလိပ္ပမာ တြန့္လိပ္ေဖာင္းၾကြလြင့္တတ္သည္။||
billy-goat|n|ဆိတ္ထီး။ဆိတ္သိုး။||
bi-monthly|adv|ႏွစ္လတစ္ၾကိမ္။||
bi-monthly|adj|ႏွစ္လတစ္ၾကီမ္ျဖစ္ေသာ။||
bin|n|ေသတၱာ။ ပံုးၾကီး။||
biltong|n|အသားေျခာက္။||
bind|v|ၾကိဳးျဖင့္ခ်ည္သည္။||
bine|n|ႏြယ္ပင္။||
bitch|n|ေခြးမ||
bitter|adj|ခါးေသာ။||
bide|v|ေစာင့္ဆိုင္းသည္။||
biochemistry|n|ဇီဝဓာတုေဗဒ။||
binoculars|n|စစ္သံုး မွန္ဘီလူး။||
biologist|n|ဇီဝေဗဒပညာရွင္။||
biology|n|ဇီဝေဗဒ။||
biological|adj|ဇီဝေဗဒႏွင့္ဆိုင္ေသာ။||
biographer|n|အတၳဳပတၱိေရးသူ။||
biography|n|အတၳဳပတၱိ။||
biographic|adj|အတၳဳပတၱိႏွင့္ဆိုင္ေသာ။||
bioscope|n|ရုပ္ရွင္ဘိုင္စကုပ္။||
biped|n|ေျခႏွစ္ေခ်ာင္း သတၱဝါ။||
biplane|n|အေတာင္ပံႏွစ္ထပ္ပါသည့္ ေလယာဥ္။||
birch|n|ေျမာက္ပိုင္းႏိုင္ငံမ်ားတြင္ ေပါက္သည့္ သစ္ပင္ၾကီးတစ္မ်ဳိး။||
bird|n|ငွက္။||
birth|n|ေမြးဖြားျခင္း။ ဇစ္ျမစ္။||
birthday|n|ေမြးေန႕။||
biscuit|n|ဘီစကြတ္မုန္႕။||
bisect|v|ႏွစ္ပိုင္း ပိုင္းသည္။||
bisection|n|ႏွစ္ပိုင္း ပိုင္းျခင္း။||
bisexual|adj|လိင္အဂၤါႏွစ္မ်ဳိးပါရိွေသာ။||
bishop|n|ခရစ္ယာန္ဂိုဏ္းအုပ္။ စစ္တုရင္ ကစားရာ၌ အသံုးျပဳသည့္ ျမင္းရုပ္။||
bistro|n|အရက္ဆိုင္။ ညကလပ္။||
bison|n|အေမရိကန္ ကြ်ဲ။||
bismuth|n|ဗိုက္နာေပ်ာက္ေဆး။||
bite|v|ကိုက္သည္။||
bit|n|ျမင္းဇက္။ အေၾကြေစ့။||
bitch|v|ရန္ေတြ႕သည္။||
bivalve|n|ေယာက္သြား။||
bivouac|n|စစ္ယာယီ စခန္း။||
biweekly|adj|၂ ပတ္လွ်င္ တစ္ၾကိမ္ျဖစ္ေသာ။||
bivouac|v|ယာယီစခန္းခ်သည္။||
biz|n|လုပ္ငန္း။||
bizarre|adj|ကို႕ရို႕ကားယားႏိုင္ေသာ။||
