DA|abbr (US )|District Attorney||
damnation|idmnterj (|စိတ္ဆုိးျခင္း၊ စိတ္မရွည္ျခင္း စသည္ေၾကာင့္ ေရရြတ္ဆဲေရးေသာ စကား||
damned|n|ငရဲသား။ ငရဲသစ္ငုတ္။||
damnedest the damnedest…|idm|အလြန္အၾကဴး အံ့ၾသဖြယ္၊  အံ့အားသင့္ဖြယ္။||
damp|adj|စုိေသာ။ ထုိင္းေသာ။ စုိထုိင္းေသာ။||
damp|n|စုိထုိင္းမႈ။ အစုိဓာတ္။||
damp|v|အသံ စသည္ ေလွ်ာ့ခ်သည္၊ ေလ်ာ့ပါးေစသည္။||
damp course|n|နံရံေအာက္ေျခတြင္ ေျမျပင္မွ အစုိျပန္မႈကုိ ကာကြယ္ရန္ ၾကားခံထား ေသာ အလႊာ။||
damply|adv|စုိစုိထုိင္းထုိင္း။||
dampness|n|စုိထုိင္းမႈ။ စုိထုိင္းျခင္း။ အစုိဓာတ္။||
dampen|v|စိုထုိင္းေအာင္ဆြတ္သည္။ (စိတ္ထက္သန္မႈ၊ စိတ္ဝင္စားမႈ၊ ထက္သန္မႈ၊ ေမွ်ာ္လင့္မႈ စသည္ကို) ေလ်ာ့ေစသည္။||
damper|n|မီးဖုိေလဝင္ေပါက္ကုိ ထိန္းေပးေသာ သတၱဳျပားအရွင္။ အသံဆူညံမႈ၊ ထိခုိက္မႈကုိ ထိန္းေပးေသာ ကိရိယာ။ ||
damsel|n|မိန္းမပ်ဳိ။ လံုမပ်ဳိ။||
damson|n|မက္မန္းပင္။  မက္မန္းသီး။||
dance|n|အက။ အကအခုန္။ ကႀကိဳးကကြက္။ အကတီးလုံး။ အကပညာ။ အက။ ကပြဲ။ ပြဲ။||
dance|v|(တစ္ဦးခ်င္းျဖစ္ေစ၊ အမ်ားႏွင့္တြဲ၍ျဖစ္ေစ) ကသည္။ ဆုိင္းခ်က္ႏွင့္အညီ ကသည္။ (အကတစ္မ်ဳိးမ်ဳိးကုိ) ကသည္။ (ကသကဲ့သုိ႔) လွပစြာ ယိမ္းႏြဲ႔၊ လြင့္ပါး၊ ျမဴးၾကြ၊ လႈပ္ရွားေနသည္။||
dance attendance on/ upon sb|idm|ခယသည္။||
dance-floor|n|ကခြင္။||
dancer|n|ကျပသူ။ ကေခ်သည္။||
dance to sb's tune|idm|ႀကိဳးဆြဲတုိင္း ကသည္။||
dancing|n|အကအခုန္။||
dancehall|n|အခေပး၍ဝင္ရေသာ ကပြဲခန္းမ။||
dandelion|n|အဝါေရာင္ပန္းပြင့္ေသာ အေလ့က် ပန္းပင္။ ဒုဓလီ။||
dandified|adj|မိမိကုိယ္ကုိ အလြန္ သေသာ (အမ်ဳိးသား)။||
dandle|v|ကေလးကုိ ဒူးေပၚလက္ေပၚတင္၍ ေျမႇာက္ကာ ျမႇဴသည္။||
dandruff|n|ေဗာက္။ ဒက္။||
dandy|n|ဝတ္ေကာင္းစားလွ ဝတ္၍ ဂိုက္ထုတ္လြန္းသူ (ေယာက္်ား)။||
dandy|adj|သိပ္ေကာင္း။ အလြန္ေကာင္း။||
Dane|n|ဒိန္းမတ္ႏိုင္ငံသား။||
danger|n|အႏ ၱရာယ္။ ေဘး။ စိုးရိမ္ဖြယ္။ ပူပန္စရာ။||
danger money|n|အႏ ၱရာယ္ေၾကး။||
