BA|abbr|Bachelor of Arts:||
bant|v|ဓာတ္စာျဖင့္ကိုယ္အေလးခ်ိန္ေလ်ာ့ခ်သည္။||
bant|n|ဓာတ္စာျဖင့္ကိုယ္အေလးခ်ိန္ေလ်ာ့ခ်ျခင္း။||
bantam|n|ၾကက္တိန္ညင္။||
bantamweight|n|၅၁ ႏွင့္ ၅၃.၅ ၾကား ကီလိုခ်ိန္ ရွိေသာ လက္ေဝွ႔သမား။ ဘင္တန္ဝိတ္တန္း။||
banter|n|က်ီစယ္စကား။||
banter|v|က်ီစယ္သည္။||
bantering|adj|က်ီစယ္ေသာ။||
banyan|n|ေညာင္မုတ္ဆိတ္၊ ေညာင္ေျခေထာက္ ကဲ့သို႔ေသာ ေညာင္မ်ဳိး။||
baptism|n|ခရစ္ယာန္အသင္းေတာ္ဝင္ ျဖစ္ရန္ ေရႏွစ္ျခင္း၊ ေရဖ်န္းျခင္းမဂၤလာ။ ယင္းသို႔ျပဳ၍ ကင္ပြန္းတပ္ျခင္း။||
baptismal|adj|ရဖ်န္း၊ ေရႏွစ္မဂၤလာႏွင့္ ဆိုင္ေသာ။||
Baptist|n|႐ိုတက္စတင့္အသင္းေတာ္ဝင္ ခရစ္ယာန္။ ႏွစ္ျခင္းခရစ္ယာန္။||
baptize|v|(esp passive) ေရႏွစ္ျခင္း၊ ေရဖ်န္းျခင္း မဂၤလာျပဳေပးသည္။ ခရစ္ယာန္ အသင္းေတာ္ဝင္အျဖစ္ သြတ္သြင္းသည္။||
baptize|v|(esp passive) ေရႏွစ္ျခင္း၊ ေရဖ်န္းျခင္း မဂၤလာျပဳေပးသည္။ ခရစ္ယာန္ အသင္းေတာ္ဝင္အျဖစ္ သြတ္သြင္းသည္။||
bar|n|ဟိုတယ္ စသည္တြင္ အေဖ်ာ္ယမကာ ေရာင္းေသာ အေဆာင္၊ အခန္း။ ဘား။ အေဖ်ာ္ယမကာေကာင္တာ။ လက္ဖက္ရည္၊ ေကာ္ဖီ၊ မုန္႔ပဲသေရစာ ရႏိုင္ေသာဆိုင္။ (သတၱဳ) အေခ်ာင္း။ အေတာင့္။ (တံခါး၊ ျပတင္း ေပါက္) သံတိုင္၊ သစ္သားတိုင္။ (လွ်ပ္စစ္မီးဖို) ကြိဳင္။  ဂီတသေကၤတျဖင့္ေရးရာ တြင္ စည္းဝါး သတ္||
bar|v|မင္းတုပ္ခ်သည္။ ကန္႔လန္႔ထိုးသည္။ တားဆီးသည္။ ဟန္႔တားသည္။ ပိတ္ပင္သည္။||
bar chart|n|ပမာဏအတက္အက်ကို တိုင္နိမ့္ျမင့္ ပုံစံျဖင့္ ျပေသာကားခ်ပ္။||
bar code|n|ကြန္ပ်ဴတာျဖင့္ဖတ္၍ စာရင္းထိန္းႏိုင္ရန္ ေရာင္းကုန္ေပၚ၌မ်ဥ္းမတ္အထူအပါး အၿပိဳင္႐ိုက္ႏွိပ္၍ သေကၤတ ထားရွိသည့္ စနစ္။||
bar|prep|ကလြဲ၍။ မွတစ္ပါး။||
barb|n|ငါးမွ်ားခ်ိတ္၊ ျမားဦး စသည္ရွိ ဆူးထစ္။ မခံခ်ိမခံသာ စကား။||
barbarian|n|လူရိုင္း။||
barbarian|adj|ရိုင္းစိုင္းေသာ။||
barbaric|adj|ရိုင္းစိုင္းေသာ။||
barbed|adj|ဆူးထစ္ပါေသာ။ နာၾကည္းေစေသာ။||
barbarism|n|အ႐ိုင္းအစိုင္း ဘဝ။ ရက္စက္ၾကမ္းၾကဳတ္မႈ။||
barbarity|n|ရက္စက္မႈ။||
barbarous|adj|႐ိုင္းစိုင္းေသာ။ ႐ိုင္းပ် ၾကမ္းတမ္းေသာ။ ရက္စက္ၾကမ္းၾကဳတ္ေသာ။ မယဥ္ေက်းေသာ။||
barbecue|n|အသားကင္ဖို။ အိမ္ျပင္တြင္ အသားကင္၍ ဝိုင္းဖဲြ႔စားေသာက္ပဲြ။ ယင္းသို႔ကင္ထားေသာအသား။||
barbecue|v|အသားကင္ဖုိတြင္ အသားကင္သည္။||
barber|n|ဆံပင္ညႇပ္သမား။ ဆတၱာသည္။||
barber-shop|n|ဆံပင္ညႇပ္ဆိုင္။||
barbiturate|n|စိတ္ၿငိမ္ေဆး။||
bard|n|ကဗ်ာစာဆို။||
bare|adj|(အဝတ္ စသည္) မဝတ္ ထားေသာ။ တုံးလုံး။ ဗလာက်င္းေနေသာ။ ေျပာင္ရွင္းေနေသာ။ ဗလာ ျဖစ္ေနေသာ။ မရွိ မျဖစ္လိုအပ္ေသာ။ အေျခခံက်ေသာ။ တစ္စတစ္စပါးသြားေသာ။||
bare|v|လွစ္ျပသည္။ ခြာပစ္သည္။||
bare soul to|idm|ရင္ဖြင့္သည္။||
bare  heart to|idm|ရင္ဖြင့္သည္။||
bare  teeth|idm|သြားျဖဲျပသည္။||
bareback|adj|ကုန္းႏွီးမပါေသာ။||
bareback|adv|ကုန္းႏွီးမပါဘဲ။||
barefaced|adj|မ်က္ႏွာေျပာင္ေသာ။||
barefoot|adj|ဖိနပ္မပါေသာ။||
barefoot|adv|ဖိနပ္ မပါဘဲ။||
bareheaded|adv|ေခါင္းေဆာင္း မပါဘဲ ။||
bareheaded|adj|ေခါင္းေဆာင္းမပါေသာ||
bareness|n|ဗလာျဖစ္ျခင္း။တံုးလံုး။||
barely|adv|မွ်သာ။ ႐ုံမွ်သာ။  …႐ုံရွိေသး။မရွိသေလာက္။||
bargain|n|(ႏွစ္ဦးႏွစ္ဖက္) အေပးအယူ။ ေလွ်ာ့ေဈး။||
bargain|v|ေဈးဆစ္သည္။ ညႇိသည္။||
bargain  away|phrv|ေရာင္းစားသည္။||
bargain basement|n|ဆိုင္ႀကီးကနားႀကီးတြင္ ပစၥည္းကို ေလွ်ာ့ေဈးျဖင့္ ေရာင္းထုတ္ရာေျမေအာက္ခန္း။||
bargain for|phrv|ထင္ထားသည္၊ ေမွ်ာ္မွန္းထားသည္။||
bargain  on|phrv|ထင္ထားသည္၊ ေမွ်ာ္မွန္းထားသည္။ထည့္သြင္းစဥ္းစားသည္။||
bargain-hunting|n|ပစၥည္းေဈးေပါရာလိုက္ရွာျခင္း။||
bargaining|n|ေဈးဆစ္ျခင္း။ ညႇိျခင္း။||
bargaining counter|n|(ညႇိႏႈိင္းရာတြင္) အားသာခ်က္။||
bargaining position|n|ညႇိႏႈိင္းမႈအေနအထား။||
bargaining power|n|ေျပာအားဆိုအား။||
barge|n|ဝမ္းျပားေရယာဥ္။ ေဖာင္ေတာ္။ သမၺန္ေတာ္။စက္တပ္သမၺန္။||
barge|v|တိုးေဝွ႔ဝင္သည္။ တရၾကမ္းတိုးဝင္သည္။ကိုးရိုးကားရားဟိုတိုက္ဒီတိုက္သြားသည္။||
barge in|phrv|ဇြတ္တိုးဝင္သည္။ ျဖတ္ဝင္သည္။ ဇြတ္ဝင္သည္။||
barge into|phrv|ဇြတ္တိုးဝင္သည္။ ျဖတ္ဝင္သည္။ ဇြတ္ဝင္သည္။||
bargee|n|ေလွသူၾကီး။||
baritone|n|ဘယ္သံက်က် ေယာက္်ားသံ။ အသံေအာ။ ယင္းအသံမ်ဳိးရွိသည့္ အဆိုေတာ္။ယင္း အဆိုေတာ္အတြက္ ေတးသြား။||
barium|n|ေဗရီယမ္ (ဓာတုျဒပ္စင္)။||
barium meal|n|ေဗရီယမ္ေဆးရည္။ (အစာလမ္းေၾကာင္း ဓာတ္မွန္႐ိုက္ရာ၌ ေသာက္ရသည္။)||
bark|n|သစ္ေခါက္။ သစ္ခြံ။||
bark|n|(ေခြး၊ ေျမေခြး) ေဟာင္သံ။ ယင္းအသံမ်ဳိး။  (ေသနတ္သံ) ေဖာက္ခနဲျမည္သံ။ (ေခ်ာင္း) တဟြတ္ဟြတ္ဆိုးသံ။||
bark|v|ေဟာင္သည္။  ေခ်ာင္းသံ၊ ေသနတ္သံ ထြက္ေပၚ သည္။ဟိန္းေဟာက္သည္။မာျပတ္ျပတ္ဆိုသည္။အေရျပားမေတာ္တဆစုတ္ျပတ္သြားသည္။||
bark is worse than their bite|idm|ပါးစပ္နဲ႔ေျပာတာက ႐ိုက္တာထက္ေတာင္ နာေသးတယ္။||
barking mad|adj|သြက္သြက္လည္ေအာင္ ႐ူးေသာ။||
bark up the wrong tree|idm|လမ္းမွားသည္။ လမ္းလဲြ လိုက္သည္။||
barker|n|ေဈးေခၚ။||
barley|n|မုေယာစပါး။ ဘာလီ။ ဘာလီပင္။||
barley sugar|n|ဘာလီသၾကားလံုး။သၾကားခဲအမာ။||
barley water|n|ဘာလီရည္။||
barmaid|n|အရက္ခ်င္တြယ္ေဖ်ာ္စပ္ေရာင္းခ်သူ။||
barman|n|အရက္ခ်င္တြယ္ေဖ်ာ္စပ္ေရာင္းခ်သူ။||
barn|n|ေကာက္ပဲသီးႏွံသိုေလာင္ရံု။စပါးက်ီ။||
barnacle|n|ခရင္းေကာင္။||
barometer|n|ေလဖိအားတိုင္းကိရိယာ။||
barometric|adj|ေလထုဖိအားႏွင့္ဆိုင္ေသာ။||
barometric pressure|n|ေလထုဖိအား။||
baron|n|အဂၤလန္ျပည္တြင္ အနိမ့္ဆံုးဘြဲ ့ခံမွဴးမတ္။စီးပြားေရးလုပ္ငန္း တစ္ရပ္ရပ္တြင္အေရးပါျပီးၾသဇာေညာင္းသူ။||
baroness|n|အဂၤလန္ျပည္တြင္ အနိမ့္ဆံုးဘြဲ ့ခံအမ်ိဳးသမီး မွဴးမတ္။စီးပြားေရးလုပ္ငန္း တစ္ရပ္ရပ္တြင္အေရးပါျပီးၾသဇာေညာင္းသူ။||
baronet|n|ဆာဘြဲ ့ရသူ။||
barouche|n|ႏွစ္ေယာက္စီး ခံုတန္းႏွစ္တန္းပါေသာ ေလးဘီးျမင္းရထား။||
barrack|v|ေအာ္ဟစ္ကန္ ့ကြက္သည္။||
barracks|n|စစ္တန္းလ်ား။||
barrage|n|ရန္သူကိုဟန္ ့တားရန္တရပ္စပ္စုျပံဳပစ္ခတ္ျခင္း စသည့္အတားအဆီး။မ်ားျပားလွသည့္ အေရအတြက္။ျမစ္ေၾကာင္းကို ကန္ ့လန္ ့ျဖတ္တည္ထားေသာ ့လူလုပ္အတားအဆီး။ေရကာတာတစ္မ်ိဳး။||
barrage balloon|n|ေလေၾကာင္းရန္ကိုဟန္ ့တားရန္ သံၾကိဳးျဖင့္ဆိုင္းထားေသာ မီုးပ်ံပူေဖာင္းၾကီး။||
barral|n|စည္။စည္ပိုင္း။ေသနတ္ေျပာင္း။||
barral|adj|စည္ထဲတြင္သိုေလွာင္သည္။||
barren|adj|မျဖစ္ထြန္းေသာ။ျမံဳေသာ||
barren soil|n|က်တ္တီးေျမ။||
barrenness|n|ျမံဳျခင္း။ဖိုျခင္း။||
barricade|n|ကတုပ္။လမ္းစသည္ကို ပိတ္ဆို ့ရန္ခ်ထားေသာအတားအဆီး။||
barricade|v|ကတုပ္ျပဳလုပ္သည္။(လမ္းကို)ပိတ္ဆို ့ရန္အတားအဆီးခ်ထားသည္။။||
barrier|n|အကာအကြယ္အျဖစ္ခ်ထားသည္ ့အရာ။အႏွာက္အယွက္။အဟန္ ့အတား။||
barrister|n|၀တ္လံုေတာ္ရေရွ ့ေန။||
barrow|n|လက္တြန္းလွည္း။(အမ်ားအားျဖင္ ့ဘီးႏွစ္ဘီးတပ္)လွည္းငယ္။||
bartender|n|အရက္ခ်င္တြယ္ေဖ်ာ္စပ္ေရာင္းခ်သူ။||
barter|n|ဖလွယ္သည့္ကုန္ပစၥည္း။ကုန္ခ်င္းလဲလွယ္ျခင္း။||
barter|v|ကုန္ခ်င္းဖလွယ္သည္။||
basalt|n|အေရာင္ရင့္သည့္မီးသင့္ေက်ာက္။မီးေတာင္ေခ်ာ္နက္။||
base|n|ေအာက္ေျခ။အေျခ။အေျခခံ။ေအာက္ခံ။ေရာေႏွာပစၥည္းတစ္ခု၏ အဓိက ပါ၀င္သည့္ပစၥည္း။အေျခခံရာ။အရင္းခံရာ။ဌာနခ်ဳပ္။||
base|v|အေျချပဳသည္။အေျခခံသည္။||
base|adj|ယုတ္ေသာ။အသံုးမက်ေသာ။မရိုးသားေသာ။||
baseness|n|အသံုးမက်ျခင္း။အသံုးမ၀င္ျခင္း။||
baseless|adj|အေျခအျမစ္မရွိေသာ။||
basely|adv|ယုတ္ညံစြာ။||
baseball|n|ေဘ့စ္ေဘာ။တုတ္ျဖင့္ေဘာလံုးကိုရိုက္ကစားရသည့္ အေမရိကန္ ကစားနည္းတစ္မ်ိဳး။||
basement|n|အေဆာက္အဦးတစ္ခု၏ေျမတိုက္ခန္း၊ေျမေအာက္ခန္း။||
basement|adj|ေျမေအာက္ထပ္၌ျဖစ္ေေသာ။||
bash|v|ရိုက္ႏွက္သည္။ထုႏွက္သည္။||
bash |n|ျပင္းျပင္းထန္ထန္ထိုးႏွက္ခ်က္။ထုရိုက္ခ်က္။ထိမိတိုက္မိ၍ျဖစ္ပၚသည့္ခ်ိဳင့္၊အခြက္။||
basd on/ahead|phrv|ျဖစ္လိုရာျဖစ္သေဘာျဖင့္ဇြတ္တိုးလုပ္သည္။||
bashful|adj|ရွက္ေသာ၊ရွက္တတ္ေသာ။||
bashfully|adv|ရွက္ေၾကာက္စြာ။||
bashfulness|n|အရွက္အေၾကာက္။||
basic|adj|အေျချပဳရေသာ။အေျခခံျဖစ္ေသာ။အေျခခံအဆင့္မွ်သာျဖစ္ေသာ။||
basically|adv|အေျခခံအားျဖင့္။အရင္းခံအားျဖင့္။ပင္ကို။||
basil|n|ဟင္းခ်က္စားရသည့္ ရနံခ်ိဳေသာ ပူစီနံကဲသို ့ေသာ အပင္မ်ိုး။||
basin|n|မ်က္ႏွာ၊လက္စသည္တို ့ေဆးေၾကာရန္ခြက္၊အင္တံု၊ဇလံု။ျမစ္၀ွမ္း။ေရနက္ပိုင္း။||
basis|n|အေျခခံအေၾကာင္းရင္း။အေရးအၾကီးဆံုးအပိုင္း။||
bask|v|ေနပူဆာလွံုသည္။||
basket|n|ျခင္း။ေတာင္း။ပလံုး။||
basketball|n|ဘတ္စကတ္ေဘာ ကစားနည္း။||
basketball|adj|ဘတ္စကတ္ေဘာႏွင့္ဆိုင္ေသာ။||
basketry|n|ၾကိမ္၊၀ါး စသည္ရက္လုပ္ခ်င္းအတတ္။||
basketwork|n|ၾကိမ္၊၀ါး စသည္ရက္လုပ္ထားေသာအရာ။ၾကိမ္ထည္။ဝါးထည္။||
basketwork|adj|ၾကိမ္၊ဝါးျဖင္ ့ျပဳလုပ္ေသာ။||
bass|n|ဘယ္သံအက်ဆံုးေယာက္်ားသံ။ဘယ္သံအက်ဆံုးေယာက္်ားသံျဖင့္ဆိုႏိုင္သူ။||
bass|n|ကကတစ္ငါးမ်ိဳးရင္းမွ ငါးတစ္မ်ိဳး။||
bass|adj|အသံနိမ့္ေသာ။||
bassinet|n|ကေလးပုခက္။||
bassoon|n|ႏွဲၾကီးတစ္မ်ိဳး။||
bastard|n|တရား၀င္လက္ထပ္မထားေသာမိဘမွေမြးထားေသာ ကေလး။မိမစစ္ဖမစစ္။||
baste|v|ရိုက္သည္။||
bastion|n|ခုခံကာကြယ္ေပးထားေသာပုဂၢိဳလ္၊ ေနရာ၊ အရာဝတၱဳ ၊ ခံတပ္။||
bastion|n|ခုခံကာကြယ္ေပးထားေသာပုဂၢိဳလ္၊ ေနရာ၊ အရာဝတၱဳ ၊ ခံတပ္။||
bat|n|ဘတ္တံ။လင္းႏို ့။လင္းဆြဲ။||
bat|v|ဘတ္တံကိုင္ကစားသည္။ဘတ္တံျဖင့္ရိုက္သည္။မ်က္စိပိတ္ခ်ည္ဖြင့္ခ်ည္လုပ္သည္။||
batch|n|တစ္သုတ္။တစ္သိုက္။ေပါင္မုန္ ့ကိတ္မုန္ ့။||
bath|n|ေရခ်ိဳးျခင္း။ေရခ်ိဳးကန္။||
bath|v|ေရခ်ိဳးသည္။ေရခ်ိဳးေပးသည္။||
bath chair|n|လူနာေရခ်ိဳးလွည္း။||
bathe|v|ေရတြင္ႏွစ္သည္။စိုစြတ္ေစသည္။ေရတြင္စိမ္သည္။ေရသြားကူးသည္။||
bathe|n|ေရကူးျခင္း။||
bathing|n|ေရခ်ိဳးသြားျခင္း။||
bathos|n|စိတ္တတ္ၾကြေနစဥ္ေျပာသည့္ရယ္စရာ၊စိတ္ဓာတ္က်စရာ စကား။||
bathroom|n|ေရခ်ိဳးခန္း။အိမ္သာ။ေရအိမ္။||
bathtub|n|ေရခ်ိဳးကန္။||
bathysphere|n|ေရေအာက္ရွိ သုေတသန ေရလံုခန္း။||
bathysphere|n|ေရေအာက္ရွိ သုေတသန ေရလံုခန္း။||
batik|n|ပါတိတ္စ။ပါတိတ္ေဆးဆိုးနည္း။||
batiste|n|ခ်ည္စ။||
batman|n|တပ္မေတာ္အရာရွိ၏ကိုယ္ေ၇းအမွူထမ္း။||
baton|n|တီးဝိုင္းေခါင္းေဆာင္ကိုင္ အခ်က္ျပတုတ္တံ။ စစ္ရာထူး အဆင့္လိုက္ အေဆာင္အေယာင္ တုတ္တို။ လက္ဆင့္ကမ္းေျပးပြဲတြင္ ကိုင္ေျပးေသာ တုတ္တို။ (စစ္တီးဝိုင္း) က်ဳိင္းတုတ္။||
baton round|n|(လူအုပ္ခဲြရာ၌သုံးေသာ) ပလတ္စတစ္၊ ေရာ္ဘာက်ည္ဖူး။||
bats|adj|ရူးသြပ္ေသာ။||
batsman|n|ခရစ္ကတ္ကစားရာတြင္ေဘာလံုးကိုရိုက္ရန္အလွည့္က်သူ။||
batty|adj|ရူးေနေသာ။ေပါေနေသာ။||
battalion|n|တပ္ရင္း။||
batten|n|ဇလီ။ သေဘၤာ မာလကာေပါက္ အဖံုးပိတ္ သည့္ ကန္႔လန္႔က်င္။||
batten|v|ဇလီသတ္သည္။||
batten on|phrv|သူတစ္ပါးလုပ္စာ ထိုင္စားသည္။||
batter|v|အဆက္မျပတ္ ထုႏွက္သည္။||
batter  down|phrv|႐ိုက္ခ်ဳိးသည္။ ခ်ဳိးဖ်က္သည္။||
battered|adj|ခ်ဳံးခ်ဳံးက်ေသာ။ ဖြတ္ဖြတ္ေၾကေသာ။||
battering-ram|n|ခံတပ္ၿမိဳ႔တံခါးေဆာင့္ၿဖဳိရာတြင္ သုံးေသာ ဝက္ခြတုံးဆဲြေမာင္းစက္။||
batter  to|phrv|စိစိေၾကေအာင္ထုႏွက္သည္။||
batter|n|ဂ်ံဳမႈန္႔၊ ၾကက္ဥ၊ ႏို႔ရည္ေရာထားေသာ အႏွစ္။||
battery|n|ဘက္ထရီအိုး။ ဓာတ္ခဲ။ အေျမာက္စု။ အေျမာက္တပ္ခဲြ။႐ႈပ္ယွက္ခတ္ေနေသာ မ်ဳိးတူ ပစၥည္းစု။စီစဥ္စုစီးထားေသာအရာ။ ဥစားၾကက္မ်ား ေမြးထားရာ ၾကက္တင္းစု။ ႐ိုက္ႏွက္မႈ။ ႐ိုက္ႏွက္ရန္ ၿခိမ္းေျခာက္မႈ။||
battery farm|n|ေလွာင္အိမ္ျဖင့္ ဥစားၾကက္မ်ား ေမြးထားရာၾကက္ျခံ။||
battle|n|တိုက္ပြဲ။ စစ္ပဲြ။||
battle|v|အေသအလဲ ႀကဳိးစားသည္၊ ရင္ဆိုင္သည္။||
battle-cruiser|n|(ယခင္) အျမန္စားစစ္သေဘၤာႀကီး။||
battle-cry|n|(ေရွး) စစ္ျငာသံ။ (ၿပဳိင္ပြဲတြင္) အားေပးဟစ္ေၾကြးသံ။ ေၾကြးေၾကာ္သံ။||
battleaxe|n|(ေရွး) တိုက္ပဲြဝင္ပုဆိန္ႀကီး။ စိတ္ပုပ္ေသာမိန္းမႀကီး။||
battledress|n|စစ္ဝတ္စံု။||
battlefield|n|စစ္ေျမျပင္။ စစ္တလင္း။||
battleground|n|စစ္ေျမျပင္။ စစ္တလင္း။||
battlements|n|သူရဲခို||
battleship|n|တိုက္သေဘၤာ။||
batty|adj|စိတ္မႏွံ႔ေသာ။ ႐ူးေပါေပါ။||
bauble|n|အေပါစားအဆင္တန္ဆာ။||
baulk|v|တုံ႔ဆိုင္းသည္။ တြန္႔ဆုတ္သည္။ကဖ်က္ယဖ်က္ လုပ္သည္။ မရေအာင္ဟန္႔တား ေႏွာင့္ယွက္သည္။||
bauxite|n|ေဘာက္ဆိုက္သတၱဳ။ (၄င္းမွ ဒန္သတၱဳ ထုတ္ယူရရွိသည္။)||
bawdy|adj|အေျပာင္အျပက္ညစ္ညမ္းေသာ။||
bawl|v|ျဖဲေအာ္သည္။ ကုန္းေအာ္သည္။က်ယ္ေလာင္စြာငိုသည္။||
bawl  out|phrv|ေအာ္ေငါက္သည္။ ေဟာက္သည္။||
bay|n|ပင္လယ္ေအာ္။||
bay|n|ကရေဝးပင္။||
bay-leaf|n|ကရေဝး႐ြက္||
bay|n|ပစၥည္းထားရန္၊ ကားရပ္ရန္ စသည္အတြက္ သီးသန္႔ ေနရာ အကြက္အကန္႔။ အေဆာက္အအံုတြင္ ေကြးေကြးဝိုက္ဝိုက္ စြန္းထြက္ေနေသာအပိုိင္း။||
bay window|n|နံရံကိုဝိုက္၍ခ်ိဳး၍ စြန္းထုတ္ထားေသာျပတင္း။ ေဆာင္ထုတ္ျပတင္း။||
bay|n|အမဲလိုက္ေခြး၏ ဟိန္းေဟာင္သံ။||
bay|v|(အမဲလိုက္ေခြး) ဟိန္းေဟာင္သည္။||
bay|adj|အုန္းခြံေရာင္။||
bayonet|n|လွံစြပ္။||
bayonet|v|လွံစြပ္ျဖင့္ထိုးသည္||
bayou|n|(အေမရိကန္ေတာင္ပိုင္း) ေဗဒါ၊ က်ဴ စသည္ လႊမ္း၍ ေရအီသည့္ ျမစ္၊ ေခ်ာင္း၊ ကန္ လက္တက္။||
bazaar|n|(အေရွ႔တိုင္း) ေဈး။ (ၿဗိတိန္၊ အေမရိကန္ စသည္တြင္) အလွဴရန္ပုံေငြအတြက္ ေဈးပြဲေတာ္။||
bazooka|n|ဘဇူကာဒံုးေလာင္ခ်ာ။||
bad| hard| etc luck|idm|ႏွစ္သိမ့္သည့္ သေဘာျဖင့္) ကံတရားေပါ့။||
back to nature|idm|ေတာသဘာဝအတိုင္း ျပန္လည္၍ ေနထိုင္သည္။||
Bagan|n|ေရွးေခတ္ ျမန္မာႏိုင္ငံ၏ ေရွးေဟာင္းျမိဳ႔ေတာ္။||
bath room|n|ေရခ်ဳိးခန္း||
