speak/talk of the devil|idm|(တစ္ေယာက္ေယာက္အေၾကာင္း ေျပာေနစဥ္ ထိုသူဝင္လာေသာ အခါ ေျပာေသာစကား)။ ေဟာ လာပါၿပီ။ ေသခဲဦးမယ္။ အသက္ရွည္ဦးမယ္။||
special|adj|အထူး။ သီးသန္႔။ တစ္ဘာသာ။ အထူးတလည္။ အထူး။ အထူးအထူးရဲအရာရွိ၊အထူးရထား၊အထူးထုတ္သတင္းစာစသည္။ အထူးႏႈန္း။ ေလွ်ာ့ေဈး။ ၿဗိတိန္တြင္ႏိုင္ငံလုံျခံဳေရးတာဝန္အထူးရဲတပ္ဖဲြ႔။ သတင္းတပ္ဖဲြ႔။ အေရးေပၚကိစၥရပ္မ်ား၌ရဲတပ္ဖဲြ႔ကိုကူညီႏိုင္ရန္ေလ့က်င့္ေပးထားသူ။ အရန္ရဲ။ အျမန္ေခ်ာပို႔။ ႐ုပ္ရွင္၊ျပဇာတ္စသည္တြင္အလင္း၊အသံ၊႐ုပ္စသည္အထူးဖန္တီးမႈနည္းပညာ။ သာမန္အားျဖင့္ခြင့္မျပဳေသာအခ်ိန္၊ေနရာတစ္ခုခု၌အထူးလက္ထပ္ခြင့္မိန္႔။ အထူးတလည္။ တကူးတက။ သက္သက္။ အထူးသျဖင့္။ ထူးထူးျခားျခား။ အျခားတစ္ဖက္၏အဆိုကိုတိုက္႐ိုက္ေခ်ပျခင္းေသာ္လည္းေကာင္း၊ဝန္ခံျခင္းေသာ္လည္းေကာင္းမျပဳဘဲမိမိအတြက္အက်ဳိးရွိမည့္အခ်က္မ်ားကိုသာအသားေပးေလွ်ာက္လဲျခင္း။||
specialism|n|အထူးျပဳဘာသာရပ္။||
specialist|n|ဘာသာရပ္တြင္အထူးကြၽမ္းက်င္သူ။ ပါရဂူ။||
speciality|adv|အထူးလုပ္ငန္း။ အထူးထုတ္ကုန္။ အထူးျပဳမႈ။||
specialize| -ise|v|ကဘာသာရပ္၊ေဆးပညာရပ္တစ္ခုခုတြင္အထူးျပဳသည္။ ခအထူးထုတ္လုပ္၊ေဆာင္ရြက္သည္။ အထူးျပဳသည္။ အထူးျပဳျခင္း။ အထူးတီထြင္ထားေသာ။ အထူး။ အထူးေလ့က်င့္လိုက္စားရေသာ။ အထူး။||
species|n|မ်ဳိးစိတ္။ အမ်ဳိး။ အစား။||
specific|adj|တိက်ေသာ။ သတ္သတ္မွတ္မွတ္ျဖစ္ေသာ။ အတိအက်။ အေသးစိတ္အခ်က္အလက္။ အတိအက်။ ေသေသခ်ာခ်ာ။ တိတိက်က်။ အထူးသျဖင့္။ တိက်မႈ။ ျဒပ္တစ္ခု၏ထုထည္ႏွင့္ေရထုထည္တို႔၏ႏႈိင္းယွဥ္ခ်က္။ သိပ္သည္းဆ။||
specification|n|အေသးစိတ္ေဖာ္ျပခ်က္။ သတ္မွတ္ခ်က္။ သတ္မွတ္ခ်က္။ သတ္မွတ္ခ်က္။ သတ္မွတ္မႈ။||
specify|v|သတ္မွတ္သည္။ ျပ႒ာန္းသည္။||
specimen|n|နမူနာ။ ဓာတ္ခဲြစစ္ေဆးရန္နမူနာ။ လူစား။ လူမ်ဳိး။||
specious|adj|ဟုတ္မွန္သေယာင္ေယာင္ရွိေသာ္လည္းစင္စစ္မွားေနေသာ။ အျပင္ပန္းအဟန္႔ေကာင္းေသာ္လည္းအတြင္းသေဘာမေရရာေသာ။||
speck|n|အစက္။ အေျပာက္။ အမႈန္။||
speckle|n|အစက္အေျပာက္။ ေျပာက္ေျပာက္က်ားက်ား။ ေျပာက္က်ား။ အေျပာက္။||
spectacle|n|ကပဲြ။ သဘင္။ ပဲြလမ္းအခမ္းအနား။ ချမင္ကြင္း။ ႐ႈခင္း။ ရယ္၊သနား၊ၾသခ်စသည္စရာ။ သူမ်ားလက္ညႇိဳးထိုးခံရေအာင္လုပ္သည္။||
spectacles|n|မ်က္မွန္တပ္ထားေသာ။ မ်က္မွန္ႏွင့္။||
spectacular|adj|ကခမ္းနားႀကီးက်ယ္ေသာ။ ခအံ့မခန္းဖြယ္ရာ။ လက္ဖ်ားခါေလာက္ေသာ။ ႀကီးက်ယ္ခမ္းနားသည့္ပဲြ။ အံ့ဘနန္း။||
spectator|n|ပဲြၾကည့္ပရိသတ္။ ေဘာလုံးကဲ့သို႔လူႀကိဳက္မ်ားေသာအားကစား။||
spectral|adj|တေစၦႏွင့္တူေသာ။ သက္တံေရာင္စဥ္၏။ အသံလႈိင္းစဥ္၏။||
spectre|n|တေစၦ။ စိတ္တေစၦေျခာက္လွန္႔မႈ။||
spectro- comb form|n|သက္တံေရာင္စဥ္သို႔အသံလႈိင္းစဥ္။||
spectrometer|n|ေရာင္စဥ္တိုင္းကိရိယာ။||
spectroscope|n|ေရာင္စဥ္ၾကည့္ကိရိယာျဖင့္ဆန္းစစ္ျခင္း။ ေရာင္စဥ္ပညာ။||
spectrum|n|သက္တံေရာင္စဥ္။ အသံလႈိင္းစဥ္။ အရည္အခ်င္း၊အေတြးအျမင္စသည္ဆိုင္ရာနယ္၊နယ္ပယ္တစ္ေၾကာ၊နယ္တစ္ဝန္းတစ္လ်ား။||
speculate|v|မွန္းဆသည္။ ထင္ေၾကးေပးသည္။ ဆင္ျခင္သုံးသပ္သည္။ ကုန္ေဈးအတက္အက်တြင္အျမတ္ထုတ္ႏိုင္ရန္ေငြေၾကးစြန္႔စားရင္းႏွီးျမႇဳပ္ႏွံသည္။ ေဈးကစားသည္။ ေဈးကစားသူ။||
speculation|n|ကထင္ျမင္ခ်က္ေပးျခင္း။ ထင္ေၾကးေပးျခင္း။ ခထင္ေၾကး။ ထင္ျမင္ခ်က္။ မွန္းဆခ်က္။ ေဈးကစားျခင္း။||
speculative|adj|စိတ္ကူး။ အမွန္း။ ယုတၱိစမ္းစြန္႔စားရင္းႏွီးျမႇဳပ္ႏွံေသာ။ ေဈးကစားေသာ။||
speech|n|ကစကား။ ႏႈတ္ေျပာ။ အေျပာ။ ဆြံ႔ျခင္း၊ထစ္ျခင္းစေသာႏႈတ္ဆြံ႔မႈမ်ားကိုေပ်ာက္ကင္းေအာင္ကုသႏိုင္သည္။ လြတ္လပ္စြာေျပာဆိုခြင့္။ ခေျပာပုံဆိုပုံ။ ေျပာေပါက္ဆိုေပါက္။ ႏႈတ္။ အာ။ ကမိန္႔ခြန္း။ စကား။ ခဇာတ္စာ၊ဇာတ္စကား။ ေက်ာင္းႏွစ္ပတ္လည္ဆုႏွင္းသဘင္။ အာေစးမိေသာ။ မွင္တက္မိေသာ။ ဆို႔နင့္ေသာ။ စကားထစ္ျခင္း၊မပီျခင္းကုထုံး။ စကားေျပာကုထုံး။||
speechify|v|ဟိတ္ဟန္တစ္ခဲြသားႏွင့္မိန္႔ခြန္းေျခြသည္။||
speed|n|လ်င္ျမန္ျခင္း။ အျမန္။ အလ်င္အဟုန္။ ေရြ႔လ်ားႏႈန္း။ အျမန္ႏႈန္း။ အရွိန္။ ကဖလင္အျမန္ႏႈန္း။ ခကင္မရာရွတၱာအျမန္ႏႈန္း။ စိတ္ၾကြေဆး။ ဂီယာခ်က္။ ေျပးသည္။ အဟုန္ျမႇင့္သည္။ သတ္မွတ္ႏႈန္းထက္ေက်ာ္ေမာင္းသည္။ အရွိန္ျပင္းျပင္းႏွင့္။ အရွိန္ျမႇင့္သည္။ သတ္မွတ္ႏႈန္းကိုေက်ာ္လြန္ေမာင္းျခင္း။ ျမန္ျမန္။ အလ်င္အျမန္။ လမ္းအလိုက္သတ္မွတ္အျမန္ႏႈန္း။||
speedboat|n|ေျပးအားေကာင္းေသာေမာ္ေတာ္ဘုတ္။ စပိဘုတ္။||
speedometer|n|ကားေျပးႏႈန္းတိုင္းကိရိယာ။||
speedway|n|ေမာ္ေတာ္ဆိုင္ကယ္ေမာင္းၿပိဳင္ပဲြ။ အျမန္ေမာင္းလမ္းမ။||
speedwell|n|အျပာေရာင္ေတာက္ေတာက္ပန္းမ်ားပြင့္ေသာအေလ့က်အပင္ငယ္။||
spoken|pp|ညင္သာစြာစသည္ေျပာတတ္ေသာ။ ေကာင္းစြာေျပာအပ္ေသာ။ ယူၿပီးသား။ ဦးၿပီးသား။ လူရွိတယ္။ ႏႈတ္ေျပာ။ အေျပာ။||
spokesman|n|ေျပာေရးဆိုခြင့္ရွိသူ။||
sponge|n|ေရျမႇဳပ္ပင္လယ္သတၱဝါ။ ကေဆးေၾကာတိုက္ခြၽတ္ရာတြင္သံုးေသာေရျမႇဳပ္။ ခရာဘာေရျမႇဳပ္။ ကေရျမႇဳပ္စသည္ျဖင့္ေရဖတ္တိုက္သည္။ ခေရျမႇဳပ္စသည္ျဖင့္တို႔၍၊တိုက္၍ဖယ္ရွားသည္။ ကပ္ရပ္ေနသည္။ ကပ္ေျမႇာင္သည္။ သြားပြတ္တံ၊သြားတိုက္ေဆးစသည္ထည့္ရန္ခရီးေဆာင္အိတ္ငယ္။ ကိတ္မုန္႔ပြ၊ကိတ္ပြ။ မုန္႔ခ်ိဳေပါင္း။ မုန္႔ခ်ိဳပြ။ ကပ္ရပ္စားသူ။ ကပ္ပါးရပ္ပါး။ ပြရြေပ်ာ့အိေသာ။ လက္ေျမႇာက္အ႐ံႈးေပးသည္။||
sponsor|n|ျပပဲြ၊ၿပိဳင္ပဲြ၊႐ုပ္ျမင္သံၾကား၊ေရဒီယိုအစီအစဥ္က်င္းပစရိတ္ကိုေၾကာ္ျငာခြင့္အတြက္ကမကထျပဳသူ၊ကုမၸဏီ။ ျပပဲြ၊ၿပိဳင္ပဲြစသည္တြင္ပါဝင္သူအတြက္ကုန္က်စရိတ္က်ခံလွဴဒါန္းသူ။ ေလ့က်င့္မႈကုန္က်စရိတ္ေထာက္ပံ့ေပးသူ၊ကုမၸဏီ။ ဥပေဒသစ္စသည္အဆိုတင္သြင္းသူ။ တစ္စံုတစ္ဦးအတြက္အာမခံသူ။ ပုဂၢိဳလ္တစ္ဦးဦး၊ကိစၥ၊ပဲြလမ္းတစ္ခုခုအတြက္ကမကထျပဳသည္သို႔ေထာက္ပံ့လွဴဒါန္းသည္သို႔အာမခံေပးသည္။ ကေငြေၾကးအေထာက္အပံ့။ ခကမကထျပဳမႈ။||
spontaneity|n|အေလ်ာက္ဘာသာျဖစ္ျခင္း။ သဘာဝက်ျခင္း။ အလိုအေလ်ာက္သေဘာသက္ဝင္ျခင္း||
spontaneous|adj|ကအလိုအေလ်ာက္ျဖစ္ေသာ။ ပင္ကိုေစ့ေဆာ္မႈထင္ဟပ္ေသာ။ ခပင္ကိုသေဘာေဆာင္ေသာ။ သဘာဝက်ေသာ။ အလိုအေလ်ာက္ေတာက္ေလာင္ျခင္း။ ေကာက္ကာငင္ကာ။||
spoof|n|တစ္စံုတစ္ရာကိုဟာသျဖစ္ေအာင္ပံုႀကီးခ်ဲ႔ျပျခင္း။ အေျပာင္အျပက္သေဘာျဖင့္လွည့္ျဖားျခင္း။ တစ္ဦးတစ္ေယာက္၏အမူအရာ၊တစ္စံုတစ္ခု၏ပံုပန္းကိုဖမ္း၍ရယ္ဖြယ္ျဖစ္ေအာင္ခ်ဲ႔ထြင္သ႐ုပ္ေဖာ္သည္။ ျပက္ရယ္ျပဳသည္။ ဟာသလုပ္သည္။ ေလွာင္သည္။||
spook|n|တေစၦ။ သရဲ။ ကေျခာက္လွန္႔သည္။ ခလန္႔သည္။ တေစၦေျခာက္ေသာ။ ေက်ာခ်မ္းစရာေကာင္းေသာ။||
spool|n|ကရစ္သည္သို႔ရစ္မွႀကိဳးစသည္ကိုေလွ်ာ့ေပးသည္။||
spoon|n|ကဇြန္း။ ခတစ္ဇြန္းစာ။ ဇြန္းျဖင့္ခပ္သည္။ တစ္ဇြန္းစာ။||
spoonerism|n|လွ်ာခလုတ္တိုက္၍အစစကားသံတို႔ကိုကိုး႐ိုးကားရားေရွ႔ေနာက္လဲြမွားဆိုမိျခင္း။ ကိုး႐ိုးကားရားလွ်ာခလုတ္တိုက္ျခင္း။ သာဓကဟုေျပာရမည့္အစားဟုထြက္သြားျခင္း။||
spoonfeed|v|ကဇြန္းျဖင့္ခံြ႔သည္။ ခတပည့္၏ကိုယ္ပိုင္ေတြးေခၚမႈႏံု႔နဲ႔ေစေသာအားျဖင့္ႏို႔သက္ခံေစ၍သင္ၾကားေပးသည္။ ခူးၿပီးခပ္ၿပီးခြံ႔သည္။||
