speak/talk of the devil|idm|(တစ္ေယာက္ေယာက္အေၾကာင္း ေျပာေနစဥ္ ထိုသူဝင္လာေသာ အခါ ေျပာေသာစကား)။ ေဟာ လာပါၿပီ။ ေသခဲဦးမယ္။ အသက္ရွည္ဦးမယ္။||
spot|n|ကအေျပာက္။ ခစြန္းထင္းေနေသာအကြက္။ အစြန္း။ အသားအေရေပၚတြင္အနာေရာဂါေၾကာင့္ေပၚေသာအနီဖု။ ဝက္ျခံ။ ကေနရာ။ အကြက္အကြင္း။ ခေဖ်ာ္ေျဖခင္း။ အပိုင္း။ အကန္႔။ က႑။ အခန္းက႑။ အခန္း။ အစက္။ နည္းနည္းေလာက္။ ေရဒီယို၊႐ုပ္ျမင္သံၾကား၊ဇာတ္သဘင္တြင္အခန္း။ အဆင့္။ ရွာေတြ႔သည္။ ရိပ္စားမိသည္။ ႏွင့္တဲြသံုးသည္မိုးဖဲြဖဲြက်သည္။ အစက္အေျပာက္စြန္းသည္၊ပါရွိသည္။ မလူးသာမလြန္႔သာအေျခအေန။ အက်ပ္အတည္း။ ခ်က္ခ်င္း။ ပဲြခ်င္းၿပီး။ လက္ငင္း။ ျဖစ္ပြားရာေနရာ။ က်ဥ္းထဲက်ပ္ထဲ။ အလစ္ဝင္စစ္ေဆးျခင္း။ သပ္ရပ္သန္႔ရွင္းေသာ။ ျပစ္ျခည္မစြန္းေသာ။ ကြက္တိျဖစ္ေသာ။ အေျပာက္အေျပာက္။ အစက္အေျပာက္အဆင္။ လုပ္ငန္းတစ္ခုအတြက္အလားအလာ၊အရည္အေသြးရွိသူတို႔ကိုရွာေဖြေပးသူသို႔အေပ်ာ္တမ္းရွာေဖြမွတ္သားသူ။ အကဲၾကည့္ေလယာဥ္။ ကင္းေထာက္ေလယာဥ္။ အဖုအပိမ့္တင္းက်မ္း။ ေျပာက္တိေျပာက္က်ား။ မေကာင္းတစ္ခ်က္ေကာင္းတစ္ခ်က္ျဖစ္ေသာ။||
spotlight|n|မီးေမာင္း။ ပရိသတ္အာ႐ံု။ မီးေမာင္းထိုးသည္။ မီးေမာင္းထိုးျပသည္။||
spouse|n|ခင္ပြန္းသို႔ဇနီး။ ခင္ပြန္းသည္။||
spout|n|ကရားႏႈတ္သီး။ ျပြန္၊ပိုက္ေခါင္း။ ေရပန္း။ ေငါက္ခနဲပန္းထြက္ေနေသာအရည္။ ကေငါက္ခနဲပန္းထြက္သည္။ ပန္းထြက္သည္။ ခပန္းထြက္သည္။ ဂေဝလငါးေရပန္းမႈတ္ထုတ္သည္။ စကားတံရွည္သည္။ စကားေၾကာရွည္သည္။ ေလရွည္သည္။ ေလပန္းသည္။ သြားပါၿပီ။ တလဲြစီျဖစ္သည္။ သဲထဲေရသြန္ျဖစ္သည္။||
sprain|v|အဆစ္လဲြသည္။ အဆစ္လဲြျခင္း။||
sprat|n|ငါးျပား၊ငါးထန္းရြက္တို႔ႏွင့္ဆင္ေသာ၊စားရေသာဥေရာပပင္လယ္ငါးတစ္မ်ိဳး။||
sprawl|v|ေျခကားရားလက္ကားရားလဲသည္။ ေျခပစ္လက္ပစ္လဲေလ်ာင္း၊ထိုင္ေနသည္။ ျပန္႔က်ဲေနသည္။ ျဖစ္သလိုျပန္႔က်ဲေနျခင္း။ ကိုး႐ိုးကားရားေနထိုင္သြားလာျခင္း။ ေျခပစ္လက္ပစ္လဲေလ်ာင္းထိုင္ေနေသာ။ ေျခကားရားလက္ကားရားပံုလဲေနေသာ။||
spray|n|ကအခက္။ ခပန္းခက္ပံုအဆင္တန္ဆာ။ ပန္းခက္။ ပန္းစည္း။ ေရမႈန္ေရမႊား။ ဥဖြာဆန္ၾကဲပစ္ထုတ္၊ပန္းထြက္လာေသာအရာ။ ကမႈတ္ေဆးဘူး၊ျခင္ေဆးဘူး၊ေလသန္႔ဘူးစသည္မွပန္းထုတ္ေပးေသာအရည္မႈန္။ ခမႈတ္ေဆးဘူး၊ျခင္ေဆးဘူးစသည္ကဲ့သို႔အရည္မႈန္ဖ်န္းမႈတ္ေပးေသာဘူး။ ကမႈတ္သည္။ ဖ်န္းသည္။ ခဖြာခနဲလြင့္စဥ္ေစသည္။ ဖြာဆန္ၾကဲေအာင္ေမႊပစ္သည္။ အမႈန္အမႊားအျဖစ္ပန္းထုတ္သည္၊ပန္းထြက္သည္္္္။ ကေဆးစသည္မႈတ္သမား။ ခေဆးစသည္မႈတ္ရန္၊ဖ်န္းရန္ကိရိယာ။ အရည္ဖ်န္းရန္၊မႈတ္ရန္ကိရိယာ။ ဘူးမွပန္းထုတ္၊မႈတ္ဖ်န္းႏိုင္ေသာအရာ။||
spread|v|ကသုတ္သည္။ ခင္းသည္။ ခသုတ္သည္။ ဖံုးသည္။ ဂသုတ္ႏိုင္သည္။ ျဖန္႔သည္။ ျဖန္႔ခင္းသည္။ ခင္းသည္။ ပ်ံ႔သည္။ ပ်ံ႔ႏွံ႔သည္။ ကူးစက္သည္။ ျဖန္႔သည္။ ျဖန္႔သည္။ ျဖန္႔ၾကက္သည္။ က်ယ္ေျပာသည္။ ျပန္႔သည္။ ေပက်ံသည္။ ဆန္႔သည္။ ဆဲြသည္။ ကျဖန္႔ကားႏိုင္ေသာအတိုင္းအတာ။ အက်ယ္။ ျဗက္။ ခအျပန္႔အျပင္အျဖစ္တည္ရွိေသာအရာ။ ျပင္က်ယ္သို႔အခ်ိန္အတိုင္းအတာ။ ဂကဲြျပားမႈ။ ပ်ံ႔ႏံွ႔မႈ။ ကူးစက္ပ်ံ႔ႏွံ႔မႈ။ တိုးခ်ဲ႔ျပန္႔ကားျခင္း။ မ်က္ႏွာျပည့္သတင္း၊ေဆာင္းပါးစသည္။ တည္ခင္းထားေသာစားဖြယ္။ ဒိန္ခဲအေပ်ာ့ကဲ့သို႔ေပါင္မုန္႔တြင္သုတ္စားစရာ။ က်ယ္ေျပာေသာလယ္၊ျခံ။ ေျခေညာင္းလက္ဆန္႔၊ေျခဆင္းလဲလူေနသည္။ ေျခကားရားလက္ကားရားျဖစ္သြားသည္သို႔ေျခပစ္လက္ပစ္ေနသည္။ သုတ္လိမ္းရန္သံုးရေသာအရာ။ သုတ္တံ။ သတင္း၊အတင္းစသည္ျဖန္႔သူ။ ဗန္းေရႊေမာင္း။ ေတာမီးပမာတစ္မုဟုတ္ခ်င္းပ်ံ႔ႏွံ႔သြားသည္။ ၾသဇာအာဏာျဖန္႔ၾကက္သည္။ လူခ်င္းခ်ဲလိုက္သည္။ ဘဝတြင္စတင္ေျခခ်သည္။ ဥအပ်ံသင္သည္။||
spreadsheet|n|စာရင္းကိန္းဂဏန္းအခ်က္အလက္တို႔ကိုဇယား၊စာတိုင္တို႔တြင္အလြယ္တကူျဖည့္သြင္း၊တြက္ခ်က္၊ျပင္ဆင္ေရႊ႔ေျပာင္းေပးႏုိင္ေသာကြန္ပ်ဴတာလုပ္ငန္းအစီအစဥ္။ ယင္းသုိ႔ျပဳစုၿပီးသည္ကိုထုတ္ယူရသည့္ကြန္ပ်ဴတာပံုႏွိပ္မူ။||
spree|n|စိတ္လြတ္လက္လြတ္ျပဳမူျခင္း။||
sprig|n|အခက္။ အခက္အရြက္တို႔ျဖင့္ပံုေဖာ္ထားေသာအဆင္။ အခက္ပန္းအထည္။||
sprightly|adj|သန္ျမန္ေသာ။ သန္တုန္းျမန္တုန္းရွိေသာ။||
spring|n|သံပတ္သို႔ေလးသို႔စပရင္။ ဘူးႏြယ္။ စမ္း။ ျပန္ကန္ႏိုင္ေသာသတၱိ။ ႐ုန္းကန္အား။ ျမဴးၾကြသြက္လက္ေပါ့ပါးျခင္း။ လႊားခနဲခုန္ျခင္း။ ခုန္တက္ျခင္း၊ခုန္အုပ္ျခင္း။ ေႏြဦး။ လႊားခနဲခုန္ထြက္သည္၊ခုန္တက္သည္၊ခုန္အုပ္သည္။ ႐ုတ္တရက္ပြင့္သည္၊ပိတ္သည္၊႐ိုက္သည္၊ခတ္သည္။ ခလုတ္ျဖဳတ္သည္။ ခလုတ္ဖြင့္သည္။ အံဖံုးစသည္ေမာင္းျဖင့္ပိတ္သည္။ စက္ႏိုးသည္။ မထုတ္သည္။ ၾကက္ပ်ိဳကေလး။ ျငင္းပယ္ဝါက်မ်ားတြင္ငယ္ရြယ္သူ။ ငယ္ေတာ့တာ။ အိမ္၊အခန္းစသည္ကိုက်က်နနေျပာင္စင္ေအာင္ရွင္းလင္းသည္။ ေျပာင္စင္ေအာင္ရွင္းလင္းျခင္း။ ဇာတိျဖစ္သည္။ ေပါက္ဖြားသည္။ ေပၚလာသည္။ ေဂၚဖီပင္ႏု။ ေရယိုသည္။ ေရဝင္သည္။ ေပါက္သည္။ ေမာင္းလက္ဆင္ထားေသာ။ ဆိုင္းမဆင့္ဗံုမဆင့္ေျပာသည္။ ၾကက္သြန္ၿမိတ္။ ေကာ္ျပန္႔လိပ္။ ေရထရက္။ မႈိလိုေပါက္သည္။ ရြအိေသာ။ ေပါ့ပါးရႊင္ပ်ေသာ။||
springboard|n|ေလထဲသို႔ကိုယ္ကိုေျမာက္တက္သြားေအာင္ခုန္ႏိုင္ရန္ျပန္ကန္အားရွိသည့္ပ်ဥ္ခ်ပ္။ ဒိုင္ဗင္ထိုးရန္ေရကူးကန္၏ေရျပင္အထက္တြင္လည္းေကာင္း၊ကြၽမ္းဘားထိုးရန္ၾကမ္းျပင္အထက္၌လည္းေကာင္းဆင္ထားေလ့ရွိသည္။ လုပ္ငန္းတစ္ရပ္သို႔စတင္တက္လွမ္းရာ။||
springbok|n|ေလထဲသို႔႐ုတ္တရက္ေပါ့ပါးစြာေျမာက္တက္ေအာင္ခုန္တတ္ေသာေတာင္အာဖရိကေဂဇဲဆိတ္သမင္ငယ္။||
springer|n|အမဲလိုက္ေခြးငယ္တစ္မ်ိဳး။||
springtime|n|ေႏြဦးသမယ။||
sprinkle|v|ဖ်န္းသည္သို႔ျဖဴးသည္။ ဟိုတစ္စဒီတစ္စအနည္းငယ္မွ်။ နည္းနည္း။ ျပက္သိကာ။ ျမက္ခင္းစသည္ေရဖ်န္းေပးသည့္ပိုက္ေခါင္း။ အေဆာက္အအံုအတြင္းမီးေလာင္မႈျဖစ္ပြားကသတ္မွတ္အပူခ်ိန္ေက်ာ္သည့္အခါအလိုအေလ်ာက္ေရဖ်န္းသတ္သည့္ပိုက္ေခါင္း။ ေျပာက္တိေျပာက္က်ားမွ်သာရွိေသာအရာ၊ဦးေရ။ မိုးတစ္ၿပိဳက္ႏွစ္ၿပိဳက္။||
sprint|v|တာတိုေျပးသည္။ အျမန္ေျပးသည္။ တာတိုေျပးပြဲ၊ေရကူးၿပိဳင္ပဲြစသည္။ တစ္ဟုန္ထိုးေျခကုန္သုတ္ျခင္း။ တာတိုအေျပးသမား။||
sprite|n|နတ္ကေလး။ မွင္စာကေလး။||
spritzer|n|ဝိုင္ႏွင့္ဆိုဒါစပ္ထားေသာယမကာ။||
sprocket|n|ေခြးသြားစိပ္ဘီးရွိေခြးသြားစိပ္။||
sprout|v|ကအစို႔အေညႇာက္ထြက္သည္။ ခအေမြးအမွင္ေပါက္သည္။ ေပၚေပါက္သည္။ ေပါက္သည္။ အစို႔။ အေညႇာက္။||
spruce|adj|သပ္ရပ္သန္႔စင္ေသာ။ ၁သန္႔ျပန္႔သပ္ရပ္ေအာင္ျပင္သည္။ ၿဖီးလိမ္းသည္။ ကထင္း႐ွဴးတစ္မ်ိဳး။ ခယင္း၏အသား။||
sprung|adj|စပရင္ပါေသာ။||
spry|adj|အသက္အရြယ္ႀကီးေသာ္လည္းေပါ့ပါးသြက္လက္ေသာ။||
spud|n|အာလူး။||
spume|n|လႈိင္းေခါင္းျဖဴမွေရျမႇဳပ္။||
spike|n|ေျငာင့္။(ေ႐ွး) တံသင္း။ ဆူးခၽႊန္။ွ||
