huh|interj|ဟုတ္လား၊ ေဟ||
hurry on|phrv|ဆက္တိုက္ေျပာခ်သည္။အေမာတေကာေျပာသည္။||
hurry up|phrv|ျမန္ျမန္။||
hurry sb/sth up|phrv|ေလာေပးသည္။ အလ်င္စလို။သုတ္သုတ္။ျမန္ျမန္။ကတိုက္က႐ိုက္။အေလာတႀကီး။သုတ္သီးသုတ္ပ်ာ။ကပ်ာကယာ။ကတိုက္က႐ိုက္။ေလာေဆာ္လ်က္။ေလာေလာဆယ္။ေလာေလာလတ္လတ္။||
hurt|v|အနာတရျဖစ္သည္။နာသည္။နာသည္။ နာသည္။ ထိခိုက္သည္။ ထိခိုက္သည္။||
hurt|adj|စိတ္ထိခိုက္ေသာ။||
hurt|n|စိတ္ဆင္းရဲျခင္း။စိတ္ထိခိုက္ျခင္း။နင့္နာျခင္း။||
hurtful|adj|ထိခိုက္ေစေသာ။||
hurtle|v|တစ္ရွိန္ထိုးေျပးသည္၊လြင့္စဥ္သည္။သူေျခေခ်ာ္ၿပီးေလွကားေအာက္တလိမ့္ေခါက္ေကြးက်သြားသည္။||
husband|n|လင္။ေယာက္်ား။||
husband|v|ေခြၽတာသည္။ေမြးသည္။ေမြးျမဴသည္။||
husband and wife|idm|လင္မယား။လင္စုံမယားဖက္။ဇနီးေမာင္ႏံွ။||
husbandry|n|စိုက္ပ်ဳိးေမြးျမဴမႈ။ ၿခိဳးျခံေခြၽတာျခင္း။||
hush|v|တိတ္စမ္း။တိတ္တိတ္ေန။ တိုးတိုးေျပာသည္၊ေျပာေစသည္။||
hush|n|ၿငိမ္သက္ျခင္း။တိတ္ျခင္း။||
hush-hush|adj|တိုးတိုးတိတ္တိတ္။လွ်ဳိ႔ဝွက္ထားေသာ။||
hush money|n|ႏႈတ္ပိတ္ခ။||
hush sth up|phrv|ဖံုးဖိသည္။||
husk|n|အသီး၊အေစ့အခြံ။ခြံ။||
husk|v|အခြံခြၽတ္သည္။အခြံခြာသည္။ႀကိတ္ခဲြသည္။||
husky|adj|အက္ေသာ၊အက္ကဲြေသာအသံ။ ထြားထြားက်ဳိင္းက်ဳိင္း။||
husky|n|စြတ္ဖားဆဲြေခြး။||
hussar|n|လက္နက္ငယ္မ်ားကိုင္ေဆာင္သည့္ျမင္းစီးစစ္သည္ေတာ္။||
hussy|n|မိန္းမေပါ့။||
hustings|n|ႏိုင္ငံေရးမဲဆြယ္တရားပဲြ။||
hustle|v|တြန္းထုတ္သည္။ေမာင္းထုတ္သည္။ အပူတျပင္းတိုက္တြန္းသည္။ေလာေဆာ္သည္။ ဇြတ္တြန္းေရာင္းသည္။ ျပည့္တန္ဆာလုပ္စားသည္။||
hustle|n|ပ်ားပန္းခပ္လႈပ္ရွားေနၾကပံု။ ဇြတ္တြန္းေရာင္းသူ။ ျပည့္တန္ဆာ။||
hut|n|တဲ။||
hutch|n|ယုန္စသည္ေလွာင္အိမ္။||
Human|n|လူသား။||
